"","hh_ID","business"
"1",101001,"1"
"2",101002,"1"
"3",101003,"0"
"4",101004,"0"
"5",101005,"1"
"6",101006,"0"
"7",101007,"0"
"8",101009,"1"
"9",101011,"0"
"10",101013,"0"
"11",102017,"1"
"12",102019,"1"
"13",102020,"1"
"14",102022,"1"
"15",102023,"1"
"16",102025,"1"
"17",103026,"1"
"18",103027,"0"
"19",103028,"1"
"20",103029,"1"
"21",103030,"0"
"22",103031,"1"
"23",103032,"1"
"24",103034,"1"
"25",103035,"0"
"26",104038,"0"
"27",104040,"1"
"28",104041,"1"
"29",104043,"0"
"30",104044,"0"
"31",105045,"1"
"32",105046,"0"
"33",105047,"0"
"34",105049,"1"
"35",105050,"1"
"36",105051,"1"
"37",105055,"1"
"38",106056,"1"
"39",106057,"0"
"40",106058,"1"
"41",106059,"1"
"42",106060,"0"
"43",106061,"1"
"44",106063,"1"
"45",106064,"1"
"46",106065,"0"
"47",106066,"0"
"48",106067,"1"
"49",107068,"0"
"50",107069,"0"
"51",107073,"0"
"52",107074,"0"
"53",107079,"1"
"54",107080,"1"
"55",108085,"0"
"56",108086,"1"
"57",108088,"1"
"58",108089,"0"
"59",108090,"0"
"60",108091,"1"
"61",108092,"0"
"62",108093,"0"
"63",108094,"1"
"64",108095,"1"
"65",108096,"1"
"66",108097,"1"
"67",109101,"1"
"68",110106,"1"
"69",110107,"0"
"70",110108,"1"
"71",110109,"0"
"72",110111,"1"
"73",110112,"1"
"74",111115,"1"
"75",112122,"1"
"76",112124,"1"
"77",112127,"1"
"78",112128,"0"
"79",112129,"1"
"80",112131,"1"
"81",112132,"1"
"82",113134,"0"
"83",113137,"1"
"84",113138,"0"
"85",113139,"0"
"86",113140,"0"
"87",113141,"0"
"88",113142,"1"
"89",113143,"0"
"90",113144,"1"
"91",113147,"1"
"92",114149,"1"
"93",114150,"1"
"94",114151,"1"
"95",115156,"0"
"96",115159,"0"
"97",115160,"0"
"98",115161,"0"
"99",115162,"0"
"100",115163,"1"
"101",115164,"0"
"102",115165,"1"
"103",116167,"1"
"104",116168,"0"
"105",116169,"0"
"106",116170,"0"
"107",116172,"0"
"108",116173,"0"
"109",116175,"0"
"110",116176,"1"
"111",116179,"1"
"112",116180,"1"
"113",117182,"1"
"114",117184,"1"
"115",117186,"0"
"116",117189,"0"
"117",117191,"1"
"118",117192,"0"
"119",117193,"0"
"120",118194,"0"
"121",118195,"0"
"122",118196,"0"
"123",118197,"0"
"124",118198,"0"
"125",118199,"0"
"126",118200,"1"
"127",118201,"0"
"128",118202,"1"
"129",118203,"1"
"130",118206,"0"
"131",118207,"1"
"132",118209,"1"
"133",118211,"1"
"134",118212,"1"
"135",119213,"1"
"136",119214,"1"
